symbol,exchange,quoteType,rank,fundop_annual_report_expense_ratio,fundop_annual_holdings_turnover,fundop_total_net_assets,market,etf_type,info_market,info_region,info_currency,info_netExpenseRatio,info_totalAssets,info_netAssets,info_fundInceptionDate,info_fundFamily,info_legalType,info_category,info_averageDailyVolume3Month,info_averageVolume,info_threeYearAverageReturn,info_fiveYearAverageReturn,info_ytdReturn,info_fiftyTwoWeekChangePercent
SPY,PCX,etf,26769.0,0.000945,0.03,460530.22,US,index,us_market,US,USD,0.0945,712072560640.0,712072560000.0,727660800.0,State Street Investment Management,Exchange Traded Fund,Large Blend,82024291.0,82024291.0,0.2027,0.1411215,17.7547,13.172913
VOO,PCX,etf,21620.0,0.00029999999,0.02,460995.72,US,index,us_market,US,USD,0.03,1474517663744.0,1474517660000.0,974073600.0,Vanguard,Exchange Traded Fund,Large Blend,9681195.0,9681195.0,0.20376159,0.1417106,17.84258,13.14336
VTI,PCX,etf,21042.0,0.00029999999,0.02,288718.38,US,index,us_market,US,USD,0.03,2056287551488.0,2056287550000.0,990662400.0,Vanguard,Exchange Traded Fund,Large Blend,5100411.0,5100411.0,0.1944247,0.1271842,17.1361,12.491274
GDX,PCX,etf,20945.0,0.0050999997,0.15,26028.42,US,sector,us_market,US,USD,0.51,25801220096.0,25801220100.0,1147737600.0,VanEck,Exchange Traded Fund,Equity Precious Metals,26078122.0,26078122.0,0.49689078,0.2491301,155.60648,139.97083
TLT,NGM,etf,20797.0,0.0015,0.19,0.0,US,bond,us_market,US,USD,0.15,47466233856.0,47466234000.0,1027296000.0,iShares,Exchange Traded Fund,Long Government,35032214.0,35032214.0,-0.0288108,-0.0743694,4.1721,-3.6839187
UVXY,BTS,etf,20584.0,0.0095,0.0,0.0,US,commodity,us_market,US,USD,0.95,403996224.0,403996224.0,1317600000.0,ProShares,Exchange Traded Fund,Trading--Miscellaneous,8357124.0,8357124.0,-0.6891498,-0.7330286,-65.47757,-58.763004
IWM,PCX,etf,20480.0,0.0019,0.18,3130.26,US,index,us_market,US,USD,0.19,73744367616.0,73744368000.0,958953600.0,iShares,Exchange Traded Fund,Small Blend,41248680.0,41248680.0,0.1147881,0.0546174,12.69315,13.938332
SCHD,PCX,etf,20440.0,0.00059999997,0.3,79728.79,US,index,us_market,US,USD,0.06,71642513408.0,71642513000.0,1319068800.0,Schwab ETFs,Exchange Traded Fund,Large Value,19291486.0,19291486.0,0.0974949,0.108741105,4.44558,11.747753
GDXJ,PCX,etf,20396.0,0.0050999997,0.28,7811.16,US,sector,us_market,US,USD,0.51,9405746176.0,9405746200.0,1257811200.0,VanEck,Exchange Traded Fund,Equity Precious Metals,5960731.0,5960731.0,0.5494831,0.22737049,173.4516,153.94507
VGT,PCX,etf,20294.0,0.00090000004,0.08,453295.66,US,sector,us_market,US,USD,0.09,130697306112.0,130697306000.0,1080172800.0,Vanguard,Exchange Traded Fund,Technology,561706.0,561706.0,0.270524,0.1589188,21.78151,15.10613
IVV,PCX,etf,20293.0,0.00029999999,0.03,460550.34,US,index,us_market,US,USD,0.03,760624054272.0,760624050000.0,958348800.0,iShares,Exchange Traded Fund,Large Blend,9876978.0,9876978.0,0.20364611,0.1418427,17.84909,13.109612
IBIT,NGM,etf,20291.0,0.0025,0.0,0.0,US,commodity,us_market,US,USD,0.25,67386511360.0,67386511000.0,1704412800.0,iShares,Exchange Traded Fund,Digital Assets,63669155.0,63669155.0,,,-7.07798,-21.444124
VYM,PCX,etf,20290.0,0.00059999997,0.13,138338.4,US,index,us_market,US,USD,0.06,84523483136.0,84523483000.0,1163116800.0,Vanguard,Exchange Traded Fund,Large Value,1644426.0,1644426.0,0.1456708,0.136022,15.4335,14.629757
FB,BTS,etf,20277.0,0.0058,0.0,464347.38,US,index,us_market,US,USD,0.58,1688063.0,1688063.0,1750723200.0,ProShares,Exchange Traded Fund,Defined Outcome,731.0,731.0,,,0.0013957,5.885744
SOXX,NGM,etf,20260.0,0.0034,0.27,186980.88,US,sector,us_market,US,USD,0.34,17523822592.0,17523822600.0,994723200.0,iShares,Exchange Traded Fund,Technology,6411421.0,6411421.0,0.35530472,0.2169384,40.70879,49.96823
